Cycles (Myr)	Spectral Power
0.03475147	0.127798921
0.034832855	0.069624934
0.03491424	0.02886529
0.034995626	0.005826597
0.035077011	0.000276521
0.035158396	0.011472861
0.035239781	0.038206257
0.035321166	0.07885453
0.035402551	0.13144649
0.035483937	0.19373292
0.035565322	0.263262418
0.035646707	0.337459791
0.035728092	0.413704807
0.035809477	0.489409192
0.035890862	0.562089975
0.035972248	0.629437433
0.036053633	0.689376134
0.036135018	0.740117775
0.036216403	0.780204763
0.036297788	0.808543739
0.036379174	0.824428466
0.036460559	0.827551768
0.036541944	0.818006438
0.036623329	0.796275296
0.036704714	0.763210792
0.036786099	0.720004796
0.036867485	0.668149443
0.03694887	0.609390095
0.037030255	0.545671701
0.03711164	0.47907996
0.037193025	0.411778907
0.03727441	0.34594656
0.037355796	0.283710431
0.037437181	0.227084653
0.037518566	0.177910506
0.037599951	0.137802039
0.037681336	0.108098364
0.037762722	0.089824031
0.037844107	0.083658676
0.037925492	0.089916896
0.038006877	0.108538962
0.038088262	0.139092722
0.038169647	0.180786655
0.038251033	0.232493734
0.038332418	0.292785377
0.038413803	0.359974475
0.038495188	0.43216619
0.038576573	0.507314933
0.038657958	0.583285772
0.038739344	0.657918345
0.038820729	0.729091274
0.038902114	0.794785079
0.038983499	0.853141612
0.039064884	0.902518183
0.03914627	0.941534698
0.039227655	0.96911239
0.03930904	0.984502994
0.039390425	0.987307535
0.03947181	0.97748425
0.039553195	0.955345513
0.039634581	0.921544
0.039715966	0.877048669
0.039797351	0.823111447
0.039878736	0.761225815
0.039960121	0.693078713
0.040041506	0.62049737
0.040122892	0.545392824
0.040204277	0.469701938
0.040285662	0.395329749
0.040367047	0.324093932
0.040448432	0.257673054
0.040529817	0.197560148
0.040611203	0.145022912
0.040692588	0.101071624
0.040773973	0.066435586
0.040855358	0.041548624
0.040936743	0.026543875
0.041018129	0.021257825
0.041099514	0.025243232
0.041180899	0.037790365
0.041262284	0.057955693
0.041343669	0.084597006
0.041425054	0.116413746
0.04150644	0.151991221
0.041587825	0.189847284
0.04166921	0.228480021
0.041750595	0.266415003
0.04183198	0.302250694
0.041913365	0.33470071
0.041994751	0.36263172
0.042076136	0.38509596
0.042157521	0.401357487
0.042238906	0.410911518
0.042320291	0.413496381
0.042401677	0.409097865
0.042483062	0.397945944
0.042564447	0.380504082
0.042645832	0.357451541
0.042727217	0.3296593
0.042808602	0.298160358
0.042889988	0.26411539
0.042971373	0.228774772
0.043052758	0.193438179
0.043134143	0.159412927
0.043215528	0.12797235
0.043296913	0.100315403
0.043378299	0.077528731
0.043459684	0.06055229
0.043541069	0.05014956
0.043622454	0.046883212
0.043703839	0.051096957
0.043785225	0.0629041
0.04386661	0.082183154
0.043947995	0.108580621
0.04402938	0.141520853
0.044110765	0.180222712
0.04419215	0.223722493
0.044273536	0.270902423
0.044354921	0.320523867
0.044436306	0.37126422
0.044517691	0.421756336
0.044599076	0.470629301
0.044680461	0.51654927
0.044761847	0.558259106
0.044843232	0.594615596
0.044924617	0.624623083
0.045006002	0.647462464
0.045087387	0.66251467
0.045168773	0.669377898
0.045250158	0.667878069
0.045331543	0.658072226
0.045412928	0.640244777
0.045494313	0.614896758
0.045575698	0.582728488
0.045657084	0.544616221
0.045738469	0.501583578
0.045819854	0.454768734
0.045901239	0.405388426
0.045982624	0.354700005
0.046064009	0.303962752
0.046145395	0.254399736
0.04622678	0.207161442
0.046308165	0.163292336
0.04638955	0.123701413
0.046470935	0.089137658
0.04655232	0.06017113
0.046633706	0.037180228
0.046715091	0.02034546
0.046796476	0.009649802
0.046877861	0.004885543
0.046959246	0.005667263
0.047040632	0.01145039
0.047122017	0.021554637
0.047203402	0.035191393
0.047284787	0.051494106
0.047366172	0.069550523
0.047447557	0.088435684
0.047528943	0.10724448
0.047610328	0.125122697
0.047691713	0.141295471
0.047773098	0.155092222
0.047854483	0.165967263
0.047935868	0.17351545
0.048017254	0.1774824
0.048098639	0.17776904
0.048180024	0.174430416
0.048261409	0.167668926
0.048342794	0.157822319
0.04842418	0.14534699
0.048505565	0.130797275
0.04858695	0.114801556
0.048668335	0.09803613
0.04874972	0.081197832
0.048831105	0.064976457
